year,ward_name,registered_voters_total,ballots_cast_total
2020,City of Milwaukee Ward 1 ,1502,1185
2020,City of Milwaukee Ward 2 ,524,358
2020,City of Milwaukee Ward 3 ,1119,879
2020,City of Milwaukee Ward 4 ,1907,1473
2020,City of Milwaukee Ward 5 ,974,777
2020,City of Milwaukee Ward 6 ,2157,1777
2020,City of Milwaukee Ward 7 ,745,562
2020,City of Milwaukee Ward 8 ,1765,1484
2020,City of Milwaukee Ward 9 ,876,752
2020,City of Milwaukee Ward 10 ,1447,1176
2020,City of Milwaukee Ward 11 ,1298,1030
2020,City of Milwaukee Ward 12 ,1126,811
2020,City of Milwaukee Ward 13 ,699,517
2020,City of Milwaukee Ward 14 ,1341,1012
2020,City of Milwaukee Ward 15 ,878,768
2020,City of Milwaukee Ward 16 ,1768,1384
2020,City of Milwaukee Ward 17 ,735,615
2020,City of Milwaukee Ward 18 ,1079,873
2020,City of Milwaukee Ward 19 ,891,660
2020,City of Milwaukee Ward 20 ,1122,901
2020,City of Milwaukee Ward 21 ,1081,809
2020,City of Milwaukee Ward 22 ,991,707
2020,City of Milwaukee Ward 23 ,450,303
2020,City of Milwaukee Ward 24 ,609,352
2020,City of Milwaukee Ward 25 ,1004,695
2020,City of Milwaukee Ward 26 ,886,703
2020,City of Milwaukee Ward 27 ,800,625
2020,City of Milwaukee Ward 28 ,353,236
2020,City of Milwaukee Ward 29 ,460,338
2020,City of Milwaukee Ward 30 ,950,659
2020,City of Milwaukee Ward 31 ,866,665
2020,City of Milwaukee Ward 32 ,1857,1482
2020,City of Milwaukee Ward 33 ,2395,2043
2020,City of Milwaukee Ward 34 ,1426,1145
2020,City of Milwaukee Ward 35 ,1071,869
2020,City of Milwaukee Ward 36 ,978,796
2020,City of Milwaukee Ward 37 ,965,657
2020,City of Milwaukee Ward 38 ,749,538
2020,City of Milwaukee Ward 39 ,885,682
2020,City of Milwaukee Ward 40 ,861,635
2020,City of Milwaukee Ward 41 ,860,627
2020,City of Milwaukee Ward 42 ,1145,890
2020,City of Milwaukee Ward 43 ,446,254
2020,City of Milwaukee Ward 44 ,1152,902
2020,City of Milwaukee Ward 45 ,1185,871
2020,City of Milwaukee Ward 46 ,665,489
2020,City of Milwaukee Ward 47 ,1135,849
2020,City of Milwaukee Ward 48 ,553,423
2020,City of Milwaukee Ward 49 ,776,568
2020,City of Milwaukee Ward 50 ,719,526
2020,City of Milwaukee Ward 51 ,703,506
2020,City of Milwaukee Ward 52 ,1049,700
2020,City of Milwaukee Ward 53 ,475,387
2020,City of Milwaukee Ward 54 ,608,432
2020,City of Milwaukee Ward 55 ,1312,1041
2020,City of Milwaukee Ward 56 ,823,650
2020,City of Milwaukee Ward 57 ,1072,824
2020,City of Milwaukee Ward 58 ,788,640
2020,City of Milwaukee Ward 59 ,1550,1172
2020,City of Milwaukee Ward 60 ,1071,765
2020,City of Milwaukee Ward 61 ,943,674
2020,City of Milwaukee Ward 62 ,782,544
2020,City of Milwaukee Ward 63 ,740,537
2020,City of Milwaukee Ward 64 ,1600,1203
2020,City of Milwaukee Ward 65 ,1233,981
2020,City of Milwaukee Ward 66 ,775,568
2020,City of Milwaukee Ward 67 ,707,525
